vno, mno, fno, vdate
1067,2,4,2025-09-08 12:23:58
1068,,10,2025-09-08 12:25:25
1069,2,1,2025-09-08 12:31:46
1070,2,3,2025-09-08 14:34:56
1071,2,6,2025-09-08 14:36:23
1072,2,6,2025-09-08 14:36:31
1073,2,6,2025-09-08 14:37:38
1074,2,6,2025-09-08 14:37:42
1075,2,6,2025-09-08 14:38:07
1076,2,6,2025-09-08 14:43:22
1077,2,6,2025-09-08 14:43:27
1078,,10,2025-09-08 14:43:41
1079,2,6,2025-09-08 14:51:22
1080,,1,2025-09-08 15:13:09
1081,,10,2025-09-08 16:32:57
1082,12,10,2025-09-08 17:10:18
1083,12,10,2025-09-08 17:12:14
1084,12,13,2025-09-08 17:33:00
1085,12,15,2025-09-08 17:37:24
1086,12,10,2025-09-08 17:44:02
1087,12,10,2025-09-08 18:04:57
1088,12,10,2025-09-08 18:06:15
1089,12,10,2025-09-08 18:10:31
1090,,5,2025-09-08 18:10:54
1091,,10,2025-09-08 18:11:21
1092,,10,2025-09-08 18:11:28
1093,,10,2025-09-08 18:11:33
1094,,10,2025-09-08 18:18:04
1095,2,6,2025-09-08 18:18:50
1096,2,10,2025-09-08 18:19:02
1097,2,6,2025-09-08 18:19:06
1098,2,4,2025-09-08 18:19:17
